"Indicator type","Indicator","Description"
"domain","mcjsa.bet",""
"domain","media-ckc.bet",""
"domain","mgdosulboi.bet",""
"domain","mgeraisboi.bet",""
"domain","mgrossoboi.bet",""
"domain","msgckc.bet",""
"domain","n5ax3f.bet",""
"domain","niu-777.bet",""
"domain","oo9b9.bet",""
"domain","paksi.bet",""
"domain","paraboi.bet",""
"domain","paraibaboi.bet",""
"domain","paranaboi.bet",""
"domain","pernambucoboi.bet",""
"domain","pesogame.bet",""
"domain","piauiboi.bet",""
"domain","plata777.bet",""
"domain","po6uet.bet",""
"domain","pqosd.bet",""
"domain","pquzkf.bet",""
"domain","prosafebet.bet",""
"domain","qoskd.bet",""
"domain","rd1i79.bet",""
"domain","rgrandedonorteboi.bet",""
"domain","rgrandedosulboi.bet",""
"domain","rjaneiroboi.bet",""
"domain","rondoniaboi.bet",""
"domain","roraimaboi.bet",""
"domain","scatarinaboi.bet",""
"domain","sergipeboi.bet",""
"domain","sl12.bet",""
"domain","slots-999.bet",""
"domain","snakepg.bet",""
"domain","sortudo-777.bet",""
"domain","spinriopg.bet",""
"domain","superman-slot.bet",""
"domain","tangerinapg.bet",""
"domain","tocantinsboi.bet",""
"domain","touro-pg.bet",""
"domain","trabalhadorpg.bet",""
"domain","u5eczw.bet",""
"domain","u87vqd.bet",""
"domain","u9pxm.bet",""
"domain","ud59if.bet",""
"domain","uu7world.bet",""
"domain","uybfs.bet",""
"domain","v7c2yd.bet",""
"domain","v9ihc.bet",""
"domain","vssports.bet",""
"domain","win-555.bet",""
"domain","x0nty.bet",""
"domain","x3vh6.bet",""
"domain","x7x7.bet",""
"domain","xmkcs.bet",""
"domain","yg85ho.bet",""
"domain","yp60j1.bet",""
"domain","atongitsgopk.com",""
"domain","bingogzonetongits.fun",""
"domain","bingoplusbingotongitsgame.xyz",""
"domain","bingotongits.com",""
"domain","bingotongits.vip",""
"domain","casino-plus-tongits-go.xyz",""
"domain","casino-plus-tongits.xyz",""
"domain","casinoplus-tongits-go.xyz",""
"domain","casinoplus-tongits.xyz",""
"domain","casinotongits.com",""
"domain","crazytongits.com",""
"domain","crazytongits.net",""
"domain","datongitshop.com",""
"domain","fortongits.com",""
"domain","freegzonetongits.fun",""
"domain","freeplaytongits.com",""
"domain","freetongits.com",""
"domain","freetongitsplay.com",""
"domain","friendstongits.com",""
"domain","gametongits.com",""
"domain","ggtongits.com",""
"domain","gotongits.com",""
"domain","gotongitsfree.com",""
"domain","gzonetongits.com",""
"domain","gzonetongits.win",""
"domain","gzonetongitsgo.com",""
"domain","gzonetongitsland.com",""
"domain","gzonetongitsstar.fun",""
"domain","httpstongits.co",""
"domain","jilievo-tongits.xyz",""
"domain","jokertongits.online",""
"domain","logintongits.com",""
"domain","mytongits.com",""
"domain","offlinetongits.com",""
"domain","onlinecasinotongits.com",""
"domain","onlinetongits.com",""
"domain","onlinetongitsfree.com",""
"domain","pctongits.com",""
"domain","play-tongits.online",""
"domain","play-tongits.store",""
"domain","playfreetongits.com",""
"domain","playtongits-ph.online",""
"domain","playtongits-ph.store",""
"domain","playtongits-pro.online",""
"domain","playtongits-pro.store",""
"domain","playtongits.com",""
"domain","playtongits.online",""
"domain","playtongits.store",""
"domain","playtongitsfree.com",""
"domain","queentongits.com",""
